Nom Complet,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nascut a Espanya,Data_naixement,Edat,Increment_num
Mia Schneider Fischer,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Altres,998.55,No,Grup A,False,1976-10-22,49,0.05
Lea Fischer,Lea,Fischer,Alemanya,Berlín,9,9,1986,Dona,1438.5,Sí,Grup A,False,1986-09-09,39,0.05
Lea Müller,Lea,Müller,Alemanya,Hamburg,14,4,2003,Dona,1379.7,No,Grup A,False,2003-04-14,22,0.05
Laura Schneider,Laura,Schneider,Alemanya,Hamburg,25,1,1957,Dona,1436.4,No,Grup A,False,1957-01-25,69,0.05
Anna Müller,Anna,Müller,Alemanya,Munic,18,3,1956,Dona,1344.0,No,Grup A,False,1956-03-18,70,0.05
Mia Schneider Müller,Mia,Schneider Müller,Alemanya,Munic,28,3,1957,Dona,804.3,No,Grup A,False,1957-03-28,68,0.05
Lukas Müller Schmidt,Lukas,Müller Schmidt,Alemanya,Munic,23,2,2005,Home,1651.65,No,Grup A,False,2005-02-23,21,0.05
Matías Gómez Álvarez,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Home,1378.65,No,Grup A,False,1955-12-04,70,0.05
Lucía Fernández,Lucía,Fernández,Argentina,Buenos Aires,8,8,1953,Dona,802.2,No,Grup A,False,1953-08-08,72,0.05
Lucía Fernández,Lucía,Fernández,Argentina,Buenos Aires,28,11,1978,NC,795.9,No,Grup A,False,1978-11-28,47,0.05
Matías Rodríguez,Matías,Rodríguez,Argentina,Buenos Aires,12,6,1950,NC,1107.75,No,Grup A,False,1950-06-12,75,0.05
Florencia Álvarez,Florencia,Álvarez,Argentina,Buenos Aires,14,11,1961,Dona,1095.15,No,Grup A,False,1961-11-14,64,0.05
Lucas Álvarez,Lucas,Álvarez,Argentina,Buenos Aires,2,8,1978,Home,943.95,Sí,Grup A,False,1978-08-02,47,0.05
Juan Álvarez,Juan,Álvarez,Argentina,Buenos Aires,21,2,1968,Home,931.35,Sí,Grup A,False,1968-02-21,58,0.05
Lucía Álvarez,Lucía,Álvarez,Argentina,Buenos Aires,10,8,1972,Altres,1198.05,No,Grup A,False,1972-08-10,53,0.05
Matías Fernández,Matías,Fernández,Argentina,Buenos Aires,28,4,1953,Home,1315.65,No,Grup A,False,1953-04-28,72,0.05
Julieta Fernández,Julieta,Fernández,Argentina,Buenos Aires,28,1,1961,Dona,1567.65,Sí,Grup A,False,1961-01-28,65,0.05
Martina Gómez,Martina,Gómez,Argentina,Buenos Aires,5,12,1963,Dona,1042.65,No,Grup A,False,1963-12-05,62,0.05
Tomás Gómez,Tomás,Gómez,Argentina,Còrdova,19,1,1996,Home,1159.2,Sí,Grup A,False,1996-01-19,30,0.05
Florencia Gómez,Florencia,Gómez,Argentina,Còrdova,8,7,1984,NC,1673.7,No,Grup A,False,1984-07-08,41,0.05
Lucía Fernández Álvarez,Lucía,Fernández Álvarez,Argentina,Còrdova,11,3,1973,Dona,718.2,Sí,Grup A,False,1973-03-11,53,0.05
Tomás Fernández Fernández,Tomás,Fernández Fernández,Argentina,Còrdova,13,6,1964,Home,1090.95,No,Grup A,False,1964-06-13,61,0.05
Valentina Gutiérrez Castro,Valentina,Gutiérrez Castro,Colòmbia,Bogotà,2,1,2001,Altres,1117.2,No,Grup A,False,2001-01-02,25,0.05
Felipe Torres,Felipe,Torres,Colòmbia,Bogotà,19,3,1970,Home,1302.0,Sí,Grup A,False,1970-03-19,56,0.05
Felipe Gutiérrez Torres,Felipe,Gutiérrez Torres,Colòmbia,Bogotà,25,10,2004,Home,1444.8,No,Grup A,False,2004-10-25,21,0.05
Laura Castro Gutiérrez,Laura,Castro Gutiérrez,Colòmbia,Bogotà,18,2,1950,Dona,1044.75,No,Grup A,False,1950-02-18,76,0.05
Daniel Castro Torres,Daniel,Castro Torres,Colòmbia,Bogotà,5,4,1992,Home,1060.5,Sí,Grup A,False,1992-04-05,33,0.05
Daniel Rojas Torres,Daniel,Rojas Torres,Colòmbia,Bogotà,20,8,1985,Home,1529.85,Sí,Grup A,False,1985-08-20,40,0.05
Santiago Rojas,Santiago,Rojas,Colòmbia,Bogotà,5,4,1987,Home,870.45,No,Grup A,False,1987-04-05,38,0.05
Valentina Torres Torres,Valentina,Torres Torres,Colòmbia,Medellín,24,7,1951,NC,1314.6,No,Grup A,False,1951-07-24,74,0.05
Daniela Castro Castro,Daniela,Castro Castro,Colòmbia,Medellín,25,12,1980,Dona,1225.35,No,Grup A,False,1980-12-25,45,0.05
Daniela Torres,Daniela,Torres,Colòmbia,Medellín,17,5,1970,Dona,1117.2,Sí,Grup A,False,1970-05-17,55,0.05
Sara Torres Castro,Sara,Torres Castro,Colòmbia,Medellín,8,8,1987,Dona,1097.25,No,Grup A,False,1987-08-08,38,0.05
Andrés Castro,Andrés,Castro,Colòmbia,Medellín,8,3,2000,Altres,1045.8,No,Grup A,False,2000-03-08,26,0.05
Laura Rojas,Laura,Rojas,Colòmbia,Medellín,9,5,1969,Dona,1037.4,No,Grup A,False,1969-05-09,56,0.05
Laura Castro,Laura,Castro,Colòmbia,Medellín,19,6,1958,Dona,1558.2,No,Grup A,False,1958-06-19,67,0.05
Daniel Rojas Castro,Daniel,Rojas Castro,Colòmbia,Medellín,7,10,1952,Home,838.95,Sí,Grup A,False,1952-10-07,73,0.05
Daniel Castro,Daniel,Castro,Colòmbia,Medellín,13,10,1956,Home,1267.35,Sí,Grup A,False,1956-10-13,69,0.05
Andrés Torres,Andrés,Torres,Colòmbia,Medellín,13,1,1967,Home,1645.35,No,Grup A,False,1967-01-13,59,0.05
Valentina Castro Rojas,Valentina,Castro Rojas,Colòmbia,Medellín,8,12,1986,Dona,857.85,Sí,Grup A,False,1986-12-08,39,0.05
Valentina Torres,Valentina,Torres,Colòmbia,Medellín,12,7,1981,Dona,901.95,Sí,Grup A,False,1981-07-12,44,0.05
Felipe Gutiérrez,Felipe,Gutiérrez,Colòmbia,Medellín,13,11,1989,Home,1338.75,No,Grup A,False,1989-11-13,36,0.05
Felipe Gutiérrez,Felipe,Gutiérrez,Colòmbia,Medellín,17,9,1953,Home,1199.1,Sí,Grup A,False,1953-09-17,72,0.05
Clara Sánchez Martínez,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Dona,1315.65,Sí,Grup A,True,1996-03-18,30,0.05
Toni Sánchez García,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Home,1095.15,No,Grup A,True,1999-08-09,26,0.05
