Nom Complet,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nascut a Espanya,Data_naixement,Edat,Increment_num
Laura Schneider Fischer,Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Dona,1830.92,Sí,Grup B,False,1958-02-02,68,0.035
Lea Schneider Schneider,Lea,Schneider Schneider,Alemanya,Berlín,23,10,2005,Dona,2083.46,No,Grup B,False,2005-10-23,20,0.035
Mia Fischer,Mia,Fischer,Alemanya,Berlín,11,8,1950,Dona,1611.5,Sí,Grup B,False,1950-08-11,75,0.035
Lukas Müller Fischer,Lukas,Müller Fischer,Alemanya,Hamburg,28,3,1971,Home,2113.47,No,Grup B,False,1971-03-28,54,0.035
Laura Schmidt,Laura,Schmidt,Alemanya,Hamburg,3,5,1956,NC,1891.98,Sí,Grup B,False,1956-05-03,69,0.035
Jonas Schneider Schmidt,Jonas,Schneider Schmidt,Alemanya,Hamburg,15,8,1983,Home,1527.66,Sí,Grup B,False,1983-08-15,42,0.035
Mia Fischer,Mia,Fischer,Alemanya,Munic,8,9,1953,Dona,1724.31,No,Grup B,False,1953-09-08,72,0.035
Leon Schneider,Leon,Schneider,Alemanya,Munic,5,5,1981,Home,1730.52,No,Grup B,False,1981-05-05,44,0.035
Martina Rodríguez Gómez,Martina,Rodríguez Gómez,Argentina,Buenos Aires,10,3,1978,Dona,1337.22,Sí,Grup B,False,1978-03-10,48,0.035
Julieta Rodríguez,Julieta,Rodríguez,Argentina,Buenos Aires,24,7,1979,Dona,1222.33,No,Grup B,False,1979-07-24,46,0.035
Juan Álvarez Fernández,Juan,Álvarez Fernández,Argentina,Buenos Aires,11,8,1991,Home,1461.42,Sí,Grup B,False,1991-08-11,34,0.035
Lucas Álvarez,Lucas,Álvarez,Argentina,Buenos Aires,22,3,1984,Home,1728.45,No,Grup B,False,1984-03-22,41,0.035
Tomás Gómez,Tomás,Gómez,Argentina,Buenos Aires,3,10,1972,Home,1506.96,No,Grup B,False,1972-10-03,53,0.035
Matías Rodríguez Gómez,Matías,Rodríguez Gómez,Argentina,Buenos Aires,28,9,1957,Home,1514.2,Sí,Grup B,False,1957-09-28,68,0.035
Matías Gómez Gómez,Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Home,2152.8,Sí,Grup B,False,2002-08-18,23,0.035
Lucas Álvarez Álvarez,Lucas,Álvarez Álvarez,Argentina,Còrdova,17,5,1981,Home,1978.92,Sí,Grup B,False,1981-05-17,44,0.035
Lucas Fernández Álvarez,Lucas,Fernández Álvarez,Argentina,Còrdova,27,4,1993,Home,2061.72,Sí,Grup B,False,1993-04-27,32,0.035
Matías Álvarez,Matías,Álvarez,Argentina,Còrdova,24,8,1954,Home,1745.01,Sí,Grup B,False,1954-08-24,71,0.035
Florencia Gómez Fernández,Florencia,Gómez Fernández,Argentina,Còrdova,12,7,1992,Dona,1288.57,No,Grup B,False,1992-07-12,33,0.035
Florencia Fernández,Florencia,Fernández,Argentina,Còrdova,14,10,1979,Dona,1251.31,No,Grup B,False,1979-10-14,46,0.035
Sara Gutiérrez,Sara,Gutiérrez,Colòmbia,Bogotà,26,2,1970,Dona,1959.26,No,Grup B,False,1970-02-26,56,0.035
Valentina Rojas,Valentina,Rojas,Colòmbia,Bogotà,6,9,1959,Dona,1226.47,No,Grup B,False,1959-09-06,66,0.035
Valentina Torres,Valentina,Torres,Colòmbia,Bogotà,14,1,1968,Dona,2111.4,No,Grup B,False,1968-01-14,58,0.035
Sara Castro,Sara,Castro,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,Sí,Grup B,False,1974-12-04,51,0.035
Daniela Castro,Daniela,Castro,Colòmbia,Bogotà,9,3,1980,Dona,1728.45,Sí,Grup B,False,1980-03-09,46,0.035
Daniel Gutiérrez Castro,Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Home,1506.96,No,Grup B,False,1976-05-04,49,0.035
Sara Torres Castro,Sara,Torres Castro,Colòmbia,Medellín,25,2,1992,Dona,1380.69,Sí,Grup B,False,1992-02-25,34,0.035
Santiago Gutiérrez Torres,Santiago,Gutiérrez Torres,Colòmbia,Medellín,4,12,1959,Home,2316.33,Sí,Grup B,False,1959-12-04,66,0.035
Laura Castro Torres,Laura,Castro Torres,Colòmbia,Medellín,6,6,1997,Dona,1488.33,No,Grup B,False,1997-06-06,28,0.035
Valentina Gutiérrez Rojas,Valentina,Gutiérrez Rojas,Colòmbia,Medellín,2,10,1959,Dona,1788.48,Sí,Grup B,False,1959-10-02,66,0.035
Valentina Torres Rojas,Valentina,Torres Rojas,Colòmbia,Medellín,22,10,1957,Dona,1491.44,No,Grup B,False,1957-10-22,68,0.035
Toni Castells Romero,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Home,1488.33,No,Grup B,True,1961-04-13,64,0.035
Toni Castells Martínez,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Home,2175.57,Sí,Grup B,True,1981-01-10,45,0.035
Oriol López Ferrer,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Home,1550.43,Sí,Grup B,True,1969-11-03,56,0.035
Pau Sánchez,Pau,Sánchez,Espanya,Barcelona,13,3,1962,Home,1524.55,No,Grup B,True,1962-03-13,64,0.035
Laia Sánchez Castells,Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Dona,2129.0,Sí,Grup B,True,1970-11-21,55,0.035
Toni Sánchez,Toni,Sánchez,Espanya,Barcelona,1,1,1987,Home,1545.26,No,Grup B,True,1987-01-01,39,0.035
Pau Ferrer,Pau,Ferrer,Espanya,Barcelona,15,3,1991,Home,1555.6,Sí,Grup B,True,1991-03-15,35,0.035
Toni Castells Ferrer,Toni,Castells Ferrer,Espanya,Barcelona,15,11,1974,NC,1904.4,No,Grup B,True,1974-11-15,51,0.035
Marc Castells Sánchez,Marc,Castells Sánchez,Espanya,Barcelona,24,6,2000,Home,1446.93,No,Grup B,True,2000-06-24,25,0.035
Oriol Romero García,Oriol,Romero García,Espanya,Barcelona,5,9,1972,Home,1512.14,No,Grup B,True,1972-09-05,53,0.035
Núria Ferrer,Núria,Ferrer,Espanya,Barcelona,9,6,1959,NC,2029.63,No,Grup B,True,1959-06-09,66,0.035
Jordi Romero Martínez,Jordi,Romero Martínez,Espanya,Barcelona,11,6,1983,Home,2383.6,No,Grup B,True,1983-06-11,42,0.035
Núria García,Núria,García,Espanya,Barcelona,2,5,1989,Dona,1683.94,Sí,Grup B,True,1989-05-02,36,0.035
Carla García,Carla,García,Espanya,Barcelona,6,10,2001,Dona,2030.67,Sí,Grup B,True,2001-10-06,24,0.035
Clara Romero López,Clara,Romero López,Espanya,Barcelona,8,12,1985,Dona,1433.48,Sí,Grup B,True,1985-12-08,40,0.035
