Nom Complet,Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Nascut a Espanya,Data_naixement,Edat,Increment_num
Anna Müller,Anna,Müller,Alemanya,Hamburg,1,1,1987,Dona,2513.28,No,Grup C,False,1987-01-01,39,0.02
Laura Schmidt Müller,Laura,Schmidt Müller,Alemanya,Hamburg,15,6,1987,NC,2075.7,Sí,Grup C,False,1987-06-15,38,0.02
Anna Fischer,Anna,Fischer,Alemanya,Hamburg,14,5,1985,Dona,2491.86,Sí,Grup C,False,1985-05-14,40,0.02
Felix Schmidt Schmidt,Felix,Schmidt Schmidt,Alemanya,Hamburg,20,10,1951,Home,2010.42,No,Grup C,False,1951-10-20,74,0.02
Tomás Rodríguez Fernández,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Home,2635.68,Sí,Grup C,False,1986-04-20,39,0.02
Tomás Fernández Álvarez,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Home,2530.62,No,Grup C,False,1958-09-08,67,0.02
Juan Gómez Gómez,Juan,Gómez Gómez,Argentina,Còrdova,9,10,1994,Home,1718.7,Sí,Grup C,False,1994-10-09,31,0.02
Valentina Castro,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Sí,Grup C,False,1951-09-02,74,0.02
Sara Gutiérrez,Sara,Gutiérrez,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,Sí,Grup C,False,1954-06-12,71,0.02
Daniel Gutiérrez Castro,Daniel,Gutiérrez Castro,Colòmbia,Bogotà,8,7,1951,Home,2694.84,No,Grup C,False,1951-07-08,74,0.02
Daniela Castro,Daniela,Castro,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,Sí,Grup C,False,1954-02-05,72,0.02
Andrés Gutiérrez Rojas,Andrés,Gutiérrez Rojas,Colòmbia,Bogotà,18,3,1986,Home,2738.7,No,Grup C,False,1986-03-18,40,0.02
Andrés Rojas Castro,Andrés,Rojas Castro,Colòmbia,Medellín,20,9,1974,Home,2444.94,No,Grup C,False,1974-09-20,51,0.02
Toni Ferrer,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Home,2691.78,No,Grup C,True,1985-04-12,40,0.02
Marta Martínez Castells,Marta,Martínez Castells,Espanya,Barcelona,16,7,1977,Dona,2501.04,Sí,Grup C,True,1977-07-16,48,0.02
Jordi García Romero,Jordi,García Romero,Espanya,Barcelona,28,5,1952,Home,2597.94,Sí,Grup C,True,1952-05-28,73,0.02
Pau Castells,Pau,Castells,Espanya,Barcelona,22,1,1986,Home,2252.16,No,Grup C,True,1986-01-22,40,0.02
Joan Martínez,Joan,Martínez,Espanya,Barcelona,14,9,1999,Home,2779.5,No,Grup C,True,1999-09-14,26,0.02
